iteration,cost,residual_norm,grad_norm,step_norm,damping,mean_cam_error,median_cam_error,max_cam_error,mean_pt_error,median_pt_error,max_pt_error
0,15080988.133704152,5491.992012686135,,,,7.97249385426538,6.081667932071917,33.124778794970894,7.6128674058575685,5.262859962807178,76.82051599610548
1,15080989.923883576,5491.992338647893,,,,7.972495001122562,6.081671216664415,33.12479129895592,7.612868890596048,5.262856287266659,76.82051615346113
2,15080991.316712592,5491.992592258767,,,,7.972495412472282,6.081667668295813,33.12478127439926,7.612869184055998,5.262861143535512,76.82052893482205
3,15080989.216882383,5491.992209914792,,,,7.972494606917132,6.081670622938555,33.12478054770882,7.6128686386682345,5.2628633939563505,76.82053616770568
4,15080989.335225185,5491.9922314630385,,,,7.972494658188056,6.0816866032047425,33.1247864804162,7.612867785501342,5.262859675164726,76.82051643338744
5,15080989.722106442,5491.99230190765,,,,7.9724945219512104,6.081669495645864,33.12478072594772,7.61286798335658,5.26286046709267,76.82053203928353
6,15080988.700678483,5491.992115922689,,,,7.972493846281556,6.081667892466104,33.12478772918666,7.612867384914684,5.262864062895244,76.82051599610548
7,15080989.18082645,5491.9922033496105,,,,7.9724938333320585,6.081661277742768,33.1247574253925,7.612867447118612,5.262859962807178,76.82051599610548
8,15080995.106155798,5491.993282252956,,,,7.972497230993832,6.081717149692865,33.12477403413676,7.612870380947118,5.262863393544949,76.82051776596293
9,15080990.099912804,5491.9923706998725,,,,7.97249507798166,6.081675768090378,33.124839189000646,7.612868066393242,5.262859946090694,76.82051599610548
10,15080988.97169812,5491.992165270835,,,,7.972495204566914,6.081665123293632,33.12476457930794,7.6128685216704035,5.2628673327424815,76.82050889663945
11,15080987.736777361,5491.9919404123975,,,,7.972493150332649,6.081658046619606,33.12479620188145,7.612867061358904,5.262860010523517,76.82051599610548
12,15080988.952264678,5491.992161732332,,,,7.972494322557351,6.081670747042731,33.12477926977845,7.612867916039707,5.262859962807178,76.82051599610548
13,15080990.951665886,5491.992525789868,,,,7.972494445775797,6.081664195325404,33.12479180858972,7.61286817671908,5.2628679661094395,76.82053590703514
14,15080992.148832452,5491.992743773874,,,,7.972494116109584,6.081667936902045,33.12480875287509,7.612868455457908,5.262862139790295,76.82050460305429
